hwm_id,lon,lat,x_utm10,y_utm10,cell,elev_ft,elev_m,cell_z_m,above_bed_m,is_above_bed,vdatum_id,vdatum,hwm_quality_id,hwm_quality,hwm_environment,survey_date,waterbody
32887,-95.479657,29.773412,3211734.0,3633795.9,2836589,38.52,11.741,8.10,3.641,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32879,-95.500718,29.760343,3209977.7,3631707.8,2663940,34.02,10.369,15.73,-5.361,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32883,-95.48245,29.77185,3211496.0,3633539.0,2834233,37.33,11.378,17.00,-5.622,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32885,-95.48245,29.77185,3211496.0,3633539.0,2834233,35.0,10.668,17.00,-6.332,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32881,-95.48245,29.77185,3211496.0,3633539.0,2834233,39.12,11.924,17.00,-5.076,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32878,-95.500718,29.760343,3209977.7,3631707.8,2663940,35.35,10.775,15.73,-4.955,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32890,-95.479657,29.773412,3211734.0,3633795.9,2836589,36.79,11.214,8.10,3.114,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32899,-95.4581494,29.7645168,3214202.3,3633323.3,2852982,35.58,10.845,11.23,-0.385,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32901,-95.4581494,29.7645168,3214202.3,3633323.3,2852982,31.87,9.714,11.23,-1.516,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32891,-95.479657,29.773412,3211734.0,3633795.9,2836589,34.5,10.516,8.10,2.416,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32893,-95.479657,29.773412,3211734.0,3633795.9,2836589,29.79,9.080,8.10,0.980,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32903,-95.4581494,29.7645168,3214202.3,3633323.3,2852982,29.6,9.022,11.23,-2.208,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32895,-95.479657,29.773412,3211734.0,3633795.9,2836589,27.96,8.522,8.10,0.422,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32898,-95.479657,29.773412,3211734.0,3633795.9,2836589,26.62,8.114,8.10,0.014,yes,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
32909,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,30.27,9.226,12.67,-3.444,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32915,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,23.35,7.117,12.67,-5.553,no,4,Mean Sea Level,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32918,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,21.77,6.635,12.67,-6.035,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32919,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,20.35,6.203,12.67,-6.467,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32905,-95.4581494,29.7645168,3214202.3,3633323.3,2852982,23.12,7.047,11.23,-4.183,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32908,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,31.95,9.738,12.67,-2.932,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32913,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,24.85,7.574,12.67,-5.096,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32921,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,20.44,6.230,9.03,-2.800,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32922,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,19.17,5.843,9.03,-3.187,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32926,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,17.5,5.334,9.03,-3.696,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32928,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,14.67,4.471,9.03,-4.559,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32930,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,12.34,3.761,9.03,-5.269,no,2,NAVD88,4,poor,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32911,-95.4551512,29.7598974,3214649.0,3632861.5,2855053,28.1,8.565,12.67,-4.105,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32933,-95.4087563,29.7606165,3219370.3,3634176.1,2858775,11.17,3.405,9.03,-5.625,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32944,-95.39836,29.76196,3220392.4,3634609.6,2860146,9.85,3.002,8.17,-5.168,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32934,-95.39836,29.76196,3220392.4,3634609.6,2860146,19.05,5.806,8.17,-2.364,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32935,-95.39836,29.76196,3220392.4,3634609.6,2860146,17.6,5.364,8.17,-2.806,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32936,-95.39836,29.76196,3220392.4,3634609.6,2860146,15.9,4.846,8.17,-3.324,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32938,-95.39836,29.76196,3220392.4,3634609.6,2860146,13.19,4.020,8.17,-4.150,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32942,-95.39836,29.76196,3220392.4,3634609.6,2860146,10.94,3.335,8.17,-4.835,no,2,NAVD88,3,fair,Riverine,2017-06-20T05:00:00,Buffalo Bayou
32946,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,15.9,4.846,13.17,-8.324,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32940,-95.39836,29.76196,3220392.4,3634609.6,2860146,12.1,3.688,8.17,-4.482,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
