# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.10653 5400
1 1 2.385 3.2451 5400
2 1 0.771333 0.614951 300
3 1 0.110667 1.42007 9300
4 1 0.396 1.15001 7200
5 1 0.332667 2.34036 6600
6 1 0.101667 0.379451 15300
7 1 0.0926667 0.379451 15300
8 1 0.679667 0.045364 300
9 1 2.929 0.505206 21600
10 1 0.804333 1.39883 36600
11 1 0.323667 0.992067 36900
12 1 3.41533 3.30052 3600
13 1 1.20333 1.55291 18900
14 1 1.10433 0.170101 3600
15 1 2.53833 3.66563 7200
16 1 0.0596667 0.216837 300
17 1 0.0213333 0.876877 9600
18 1 0.314 1.77218 33000
19 1 0.456 1.19117 36600
20 1 0.972333 0.336512 300
21 1 1.226 1.38818 43200
22 1 2.671 2.59323 43200
23 1 1.19733 2.20265 34800
24 1 0.0126667 0.324496 14700
25 1 0.0713333 0.355972 3600
26 1 0.394 1.5758 33600
27 1 2.065 0.97109 300
28 1 0.132 1.48015 34200
29 1 0.0733333 1.74337 32700
30 1 1.217 0.789879 3600
31 1 0.526667 0.170212 3600
32 1 0.715333 0.198069 300
33 1 0.174333 0.506618 16200
34 1 0.615333 0.391482 600
35 1 0.664333 0.0153122 300
36 1 0.538667 1.71426 33900
37 1 3.66467 3.50207 19200
38 1 0.017 0.105436 300
39 1 0.353 1.73685 33600
40 1 1.03233 0.470354 4200
41 1 0.633 1.19117 36600
42 1 0.916 1.50127 43200
43 1 0.0136667 0.148263 300
44 1 4.319 3.59946 43200
45 1 0.81 1.50127 43200
