# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.09108 5100
1 1 2.385 3.22362 5400
2 1 0.771333 0.613791 300
3 1 0.110667 1.42165 9000
4 1 0.396 1.1504 7200
5 1 0.332667 2.34921 6300
6 1 0.101667 0.386193 15000
7 1 0.0926667 0.386193 15000
8 1 0.679667 0.0454105 300
9 1 2.929 0.496876 21600
10 1 0.804333 1.40288 42900
11 1 0.323667 0.995887 43200
12 1 3.41533 3.27866 3600
13 1 1.20333 1.53715 19800
14 1 1.10433 0.170174 3600
15 1 2.53833 3.66392 7200
16 1 0.0596667 0.216981 300
17 1 0.0213333 0.881719 8700
18 1 0.314 1.77993 33600
19 1 0.456 1.1834 43200
20 1 0.972333 0.330451 300
21 1 1.226 1.38195 43200
22 1 2.671 2.57958 43200
23 1 1.19733 2.20395 35400
24 1 0.0126667 0.338828 13500
25 1 0.0713333 0.353198 3600
26 1 0.394 1.573 34200
27 1 2.065 0.958386 300
28 1 0.132 1.48103 35100
29 1 0.0733333 1.74944 33300
30 1 1.217 0.780895 300
31 1 0.526667 0.170451 3600
32 1 0.715333 0.197909 300
33 1 0.174333 0.508303 16500
34 1 0.615333 0.389471 300
35 1 0.664333 0.0153347 300
36 1 0.538667 1.71476 34800
37 1 3.66467 3.4835 20100
38 1 0.017 0.106765 300
39 1 0.353 1.73999 34200
40 1 1.03233 0.469811 3900
41 1 0.633 1.1834 43200
42 1 0.916 1.506 43200
43 1 0.0136667 0.149034 300
44 1 4.319 3.58285 43200
45 1 0.81 1.506 43200
