# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.10376 5100
1 1 2.385 3.24155 5100
2 1 0.771333 0.614653 300
3 1 0.110667 1.42544 9300
4 1 0.396 1.14824 7200
5 1 0.332667 2.36412 7500
6 1 0.101667 0.388695 15300
7 1 0.0926667 0.388695 15300
8 1 0.679667 0.0454707 300
9 1 2.929 0.517724 21600
10 1 0.804333 1.406 36600
11 1 0.323667 0.999017 36900
12 1 3.41533 3.30976 3900
13 1 1.20333 1.56671 17400
14 1 1.10433 0.173901 3600
15 1 2.53833 3.67001 7200
16 1 0.0596667 0.216396 300
17 1 0.0213333 0.878441 9300
18 1 0.314 1.77132 33000
19 1 0.456 1.2103 36600
20 1 0.972333 0.336549 300
21 1 1.226 1.40665 43200
22 1 2.671 2.61589 43200
23 1 1.19733 2.20844 34800
24 1 0.0126667 0.3311 15000
25 1 0.0713333 0.363438 3600
26 1 0.394 1.58627 33600
27 1 2.065 0.973428 300
28 1 0.132 1.48025 34200
29 1 0.0733333 1.74153 32700
30 1 1.217 0.803547 3600
31 1 0.526667 0.172367 3600
32 1 0.715333 0.199989 300
33 1 0.174333 0.523027 16200
34 1 0.615333 0.391691 900
35 1 0.664333 0.0153452 300
36 1 0.538667 1.71734 34200
37 1 3.66467 3.52209 18900
38 1 0.017 0.105971 300
39 1 0.353 1.73687 33600
40 1 1.03233 0.475674 4500
41 1 0.633 1.2103 36600
42 1 0.916 1.50357 43200
43 1 0.0136667 0.149442 300
44 1 4.319 3.64183 43200
45 1 0.81 1.50357 43200
