# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.10315 4800
1 1 2.385 3.24089 5100
2 1 0.771333 0.614653 300
3 1 0.110667 1.42507 9300
4 1 0.396 1.14824 7200
5 1 0.332667 2.35596 6900
6 1 0.101667 0.382332 15000
7 1 0.0926667 0.382332 15000
8 1 0.679667 0.0454707 300
9 1 2.929 0.510089 21600
10 1 0.804333 1.39892 36300
11 1 0.323667 0.992601 36600
12 1 3.41533 3.30278 3600
13 1 1.20333 1.5611 18600
14 1 1.10433 0.171811 3600
15 1 2.53833 3.66636 7200
16 1 0.0596667 0.216396 300
17 1 0.0213333 0.877465 9000
18 1 0.314 1.76853 32700
19 1 0.456 1.19388 36600
20 1 0.972333 0.336543 300
21 1 1.226 1.39297 43200
22 1 2.671 2.59771 43200
23 1 1.19733 2.20217 34500
24 1 0.0126667 0.327173 13800
25 1 0.0713333 0.362244 3600
26 1 0.394 1.57706 33300
27 1 2.065 0.973428 300
28 1 0.132 1.47661 34200
29 1 0.0733333 1.73953 32100
30 1 1.217 0.790622 3600
31 1 0.526667 0.171032 3600
32 1 0.715333 0.198126 300
33 1 0.174333 0.510608 16200
34 1 0.615333 0.391505 600
35 1 0.664333 0.0153452 300
36 1 0.538667 1.71189 33900
37 1 3.66467 3.51129 18900
38 1 0.017 0.105972 300
39 1 0.353 1.733 33300
40 1 1.03233 0.474583 4200
41 1 0.633 1.19388 36600
42 1 0.916 1.4994 42900
43 1 0.0136667 0.148237 300
44 1 4.319 3.62718 43200
45 1 0.81 1.4994 42900
