# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.1027 5400
1 1 2.385 3.23972 5400
2 1 0.771333 0.614407 300
3 1 0.110667 1.42242 9300
4 1 0.396 1.14503 7200
5 1 0.332667 2.341 6600
6 1 0.101667 0.378386 15000
7 1 0.0926667 0.378386 15000
8 1 0.679667 0.0455542 300
9 1 2.929 0.505994 21600
10 1 0.804333 1.39436 36600
11 1 0.323667 0.99079 43200
12 1 3.41533 3.27553 3900
13 1 1.20333 1.55202 18600
14 1 1.10433 0.170856 3600
15 1 2.53833 3.67265 7200
16 1 0.0596667 0.217068 300
17 1 0.0213333 0.878758 8400
18 1 0.314 1.76514 33300
19 1 0.456 1.18985 43200
20 1 0.972333 0.337316 300
21 1 1.226 1.38464 43200
22 1 2.671 2.59016 43200
23 1 1.19733 2.19852 35100
24 1 0.0126667 0.322826 13500
25 1 0.0713333 0.355426 3600
26 1 0.394 1.5767 33900
27 1 2.065 0.971914 300
28 1 0.132 1.47603 34500
29 1 0.0733333 1.73894 32700
30 1 1.217 0.788068 3600
31 1 0.526667 0.17026 3600
32 1 0.715333 0.196199 300
33 1 0.174333 0.504851 16500
34 1 0.615333 0.392121 900
35 1 0.664333 0.0153559 300
36 1 0.538667 1.71196 34200
37 1 3.66467 3.49852 19200
38 1 0.017 0.106017 300
39 1 0.353 1.73111 33600
40 1 1.03233 0.471222 4200
41 1 0.633 1.18985 43200
42 1 0.916 1.49873 43200
43 1 0.0136667 0.148357 300
44 1 4.319 3.61452 43200
45 1 0.81 1.49873 43200
