# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.0994 4800
1 1 2.385 3.23673 4800
2 1 0.771333 0.613011 300
3 1 0.110667 1.42436 8700
4 1 0.396 1.14824 7200
5 1 0.332667 2.3543 6600
6 1 0.101667 0.382426 15000
7 1 0.0926667 0.382426 15000
8 1 0.679667 0.0454707 300
9 1 2.929 0.5088 21600
10 1 0.804333 1.39572 35700
11 1 0.323667 0.989159 36300
12 1 3.41533 3.30276 3600
13 1 1.20333 1.55238 16500
14 1 1.10433 0.170551 3600
15 1 2.53833 3.6592 6600
16 1 0.0596667 0.216396 300
17 1 0.0213333 0.878308 9000
18 1 0.314 1.76704 32100
19 1 0.456 1.19346 36300
20 1 0.972333 0.336542 300
21 1 1.226 1.38729 43200
22 1 2.671 2.595 43200
23 1 1.19733 2.1998 34200
24 1 0.0126667 0.327292 13800
25 1 0.0713333 0.357425 3600
26 1 0.394 1.57586 33000
27 1 2.065 0.973428 300
28 1 0.132 1.47331 33600
29 1 0.0733333 1.73816 31800
30 1 1.217 0.790592 3600
31 1 0.526667 0.171553 3600
32 1 0.715333 0.198071 300
33 1 0.174333 0.510181 16200
34 1 0.615333 0.391465 600
35 1 0.664333 0.0153452 300
36 1 0.538667 1.71007 33600
37 1 3.66467 3.50081 16800
38 1 0.017 0.105971 300
39 1 0.353 1.7311 33000
40 1 1.03233 0.472031 4200
41 1 0.633 1.19346 36300
42 1 0.916 1.49677 42600
43 1 0.0136667 0.148409 300
44 1 4.319 3.62002 43200
45 1 0.81 1.49677 42600
