site_no,lon,lat,x_utm10,y_utm10,cell,cell_z_m,gage_datum_ft,gage_datum_m,datum,station,has_stage_ts
08072300,-95.806895,29.743287,3179211.1,3621675.6,803709,33.27,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou nr Katy, TX",True
08072350,-95.767172,29.723009,3183874.1,3620338.3,877521,31.47,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou nr Fulshear, TX",True
08072500,-95.647168,29.769951,3194724.2,3628974.4,674963,24.50,0.00000000000e+00,0.00,NAVD88,"Barker Res nr Addicks, TX",False
08072600,-95.643167,29.769381,3195150.1,3629012.8,2702302,24.70,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou at State Hwy 6 nr Addicks, TX",True
08072680,-95.709611,29.805111,3187291.4,3631452.1,1078603,34.60,0.00000000000e+00,0.00,NAVD88,"S Mayde Ck at Heathergold Dr nr Addicks, TX",True
08072730,-95.686891,29.830783,3188838.1,3635052.2,1825690,34.73,0.00000000000e+00,0.00,NAVD88,"Bear Ck nr Barker, TX",True
08072760,-95.646612,29.867170,3191850.9,3640368.8,1957338,34.10,0.00000000000e+00,0.00,NAVD88,"Langham Ck at W Little York Rd nr Addicks, TX",True
08072800,-95.625778,29.835782,3194923.9,3637243.2,1858212,28.23,0.00000000000e+00,0.00,NAVD88,"Langham Ck nr Addicks, TX",True
08073000,-95.623556,29.791339,3196491.4,3632098.9,162469,25.30,0.00000000000e+00,0.00,NAVD88,"Addicks Res nr Addicks, TX",False
08073100,-95.624112,29.790506,3196459.7,3631986.8,650154,25.20,0.00000000000e+00,0.00,,"Langham Ck at Addicks Res Outflow nr Addicks, TX",True
08073500,-95.605778,29.761896,3199195.0,3629119.2,2717335,22.77,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou nr Addicks, TX",True
08073600,-95.557721,29.762173,3204096.9,3630417.3,2677517,21.50,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou at W Belt Dr, Houston, TX",True
08073700,-95.523554,29.746896,3208050.7,3629529.4,2775128,17.13,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou at Piney Point, TX",True
08074000,-95.408550,29.760228,3219403.3,3634136.1,2858868,6.93,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou at Houston, TX",True
08074020,-95.480496,29.870781,3208690.6,3645178.0,555139,23.60,0.00000000000e+00,0.00,NAVD88,"Whiteoak Bayou at Alabonson Rd, Houston, TX",True
08074150,-95.487996,29.851337,3208516.2,3642702.2,575905,25.30,0.00000000000e+00,0.00,NAVD88,"Cole Ck at Deihl Rd, Houston, TX",True
08074250,-95.469385,29.828004,3211125.6,3640462.6,2342408,20.40,0.00000000000e+00,0.00,NAVD88,"Brickhouse Gully at Costa Rica St, Houston, TX",True
08074500,-95.397161,29.775228,3220111.0,3636196.3,2870906,15.03,0.00000000000e+00,0.00,NAVD88,"Whiteoak Bayou at Houston, TX",True
08074540,-95.368056,29.792778,3222551.2,3639026.8,2417009,14.50,0.00000000000e+00,0.00,NAVD88,"Little Whiteoak Bayou at Trimble St, Houston, TX",True
08074598,-95.358549,29.766617,3224321.2,3636213.9,718908,11.80,0.00000000000e+00,0.00,NAVD88,"Whiteoak Bayou at Main St, Houston, TX",True
08074710,-95.291047,29.749395,3231751.3,3635994.1,2895674,-0.10,0.00000000000e+00,0.00,NAVD88,"Buffalo Bayou at Turning Basin, Houston, TX",False
